StartDate,StartTime,EndTime,Cycle,Animal,Age_months,Genotype,id_code,Sex,InitMass_g,BP_kPa,EvniroLightLux,TempC,RH_pct,AC2_TempC,Avg_EE,Tot_EE,Avg_VO2,Avg_VCO2,Avg_RQ,Avg_VH2O,R_EE_30,R_RER_30,QR_EE_30,QR_RER_30,A_EE_15,A_RER_15,QA_EE_15,QA_RER_15,UptakeA_g,UptakeA_N,UptakeA_Sum,UptakeA_min,InterUptakeA_min,uptakeW_g,uptakeW_N,uptakeW_Sum,uptakeW_min,InteruptakeW_min,BodyMass_g,BodyMass_SD,YBreaks,XBreaks,ZBreaks,AllMeters,PedMeters,PedSpeed,Walk_pct,Still_pct,Sleep_pct,Sleep_hrs
5/22/23,18:00:00,18:30:00,27,6,.,.,.,.,.,99.70126,0,.,.,23.99172,0.511619,0.2558005,1.778823,1.371284,0.7717075,0.2261696,0.5116052,0.7717209,0.5116052,0.7717209,0.5135646,0.755728,0.5101123,0.7842083,0.1227417,1,0.1227417,29.51667,0,0.01402791,3,0.04208373,1.533333,3.075,19.28777,0.01874721,1928,1898,1044,40.86607,38.58001,0.03812084,74.18101,5.719045,0,0
5/22/23,18:00:00,18:30:00,27,7,.,.,.,.,.,99.70126,0,.,.,24.45105,0.4574161,0.2287124,1.585386,1.243759,0.7861212,0.2733835,0.4574247,0.7861443,0.4574247,0.7861443,0.4702098,0.7771823,0.4526244,0.7747467,0.0662384,2,0.1324768,11.48333,3.216667,0.006459554,3,0.01937866,0.9444445,10.98333,17.96469,4.627738,1367,1564,772,20.77147,18.24072,0.02991017,50.47196,16.37979,0.3331482,0.001527778
5/22/23,18:00:00,18:30:00,27,8,.,.,.,.,.,99.70126,0,.,.,24.17082,0.521716,0.2608573,1.808029,1.419373,0.7842916,0.2912676,0.5217003,0.7842899,0.5217003,0.7842899,0.5367137,0.7926756,0.5084443,0.7674237,0.0953064,1,0.0953064,28.88333,0,0.01768494,2,0.03536988,0.5416666,7.05,0,0,1538,1516,2710,27.12037,25.03038,0.03541381,54.69184,14.43642,0,0
5/22/23,18:00:00,18:30:00,27,9,.,.,.,.,.,99.70126,0,25.51541,41.0327,24.52937,0.5057337,0.2528649,1.763898,1.335781,0.7571884,0.2512089,0.5057221,0.757157,0.5057221,0.757157,0.5142962,0.7583511,0.502113,0.7453563,0.1933899,1,0.1933899,28.28333,0,0.01649475,2,0.0329895,0.9833333,7.316667,0,0,971,762,1078,17.37631,16.1005,0.03305573,38.47862,23.09828,4.664075,0.02333335
5/22/23,18:00:00,18:30:00,27,10,.,.,.,.,.,99.70126,0,.,.,24.33773,0.5255341,0.2627643,1.796561,1.517772,0.844781,0.2823606,0.5255478,0.8447728,0.5255478,0.8447728,0.5405613,0.844452,0.5317101,0.8322878,0.1094971,1,0.1094971,23.66667,0,0.01608276,1,0.01608276,2.133333,0,16.02111,8.631735,1681,1462,2418,20.23208,17.64491,0.02940447,49.47251,10.54969,0,0
5/22/23,18:00:00,18:30:00,27,11,.,.,.,.,.,99.70126,0,.,.,24.53343,0.4694351,0.2347192,1.623775,1.288083,0.7926297,0.1848827,0.4694304,0.792597,0.4694304,0.792597,0.4872864,0.7856945,0.4531193,0.7887565,0.133728,1,0.133728,29.2,0,0.05914307,1,0.05914307,1.116667,0,20.39998,0.02760112,1775,1726,1035,38.67056,36.51909,0.04707656,60.46641,12.82621,6.885064,0.03444445
5/22/23,18:00:00,18:30:00,27,12,.,.,.,.,.,99.70126,0,.,.,24.26735,0.5237387,0.2618778,1.828334,1.3775,0.7543014,0.3042329,0.5237415,0.754281,0.5237415,0.754281,0.5556889,0.7467982,0.5555758,0.7471489,0.1257629,1,0.1257629,22.26667,0,0.08927917,2,0.1785583,0.5583333,2.416667,0,0,1519,1465,1326,22.36612,19.93594,0.03206345,52.5819,12.27096,0,0
5/22/23,18:00:00,18:30:00,27,13,.,.,.,.,.,99.70126,0,.,.,24.56266,0.5267745,0.2633876,1.84524,1.363005,0.7380148,0.2600164,0.5267684,0.738004,0.5267684,0.738004,0.5392361,0.7451238,0.5159562,0.7164569,0.05175781,1,0.05175781,18.11667,0,0.009849548,4,0.03939819,0.8916667,2.922222,0,0,1865,1605,994,35.28855,33.42786,0.03565408,66.7407,10.21655,0,0
5/22/23,18:00:00,18:30:00,27,14,.,.,.,.,.,99.70126,0,.,.,24.06181,0.5212644,0.2606355,1.835705,1.31395,0.7159815,0.2912958,0.5212733,0.71599,0.5212733,0.71599,0.5354166,0.7195351,0.5231557,0.7144309,0.02067566,2,0.04135132,9.325,9.333333,0.004058838,1,0.004058838,0.7833334,0,0,0,1715,1765,1244,27.54814,25.33544,0.03100085,59.13382,25.37479,6.385341,0.03194446
5/22/23,18:00:00,18:30:00,27,15,.,.,.,.,.,99.70126,0,.,.,24.41931,0.4382965,0.2191308,1.52677,1.164504,0.7624216,0.307398,0.4382447,0.7624274,0.4382447,0.7624274,0.4394118,0.760702,0.4369562,0.7641539,0.02563477,1,0.02563477,8.65,0,0.01138306,3,0.03414918,0.6277778,11.98333,18.42974,0.06015633,1448,1520,923,16.02654,13.44786,0.02427177,45.64131,18.6563,2.776235,0.01388889
5/22/23,18:00:00,18:30:00,27,16,.,.,.,.,.,99.70126,0,.,.,24.29263,0.4442919,0.2221479,1.559318,1.138871,0.7291285,0.3254875,0.444298,0.7291361,0.444298,0.7291361,0.4761189,0.7487741,0.4187391,0.7140359,0.02722168,3,0.08166504,2.016667,8.225,0.00592041,2,0.01184082,0.5,18.21667,0,0,1231,1031,429,16.91299,15.09788,0.02907411,40.86618,33.53692,21.48806,0.1073613
5/22/23,18:30:00,19:00:00,28,1,.,.,.,.,.,99.71432,0,.,.,23.99935,0.5061291,0.2530606,1.769826,1.320616,0.7468274,0.2592062,0.5060974,0.7468227,0.5060974,0.7468227,0.5221897,0.7468349,0.5181602,0.7396256,0.08966064,1,0.08966064,27.46667,0,0.03518677,2,0.07037354,1.258333,24.73333,0,0,1630,1670,1131,27.64361,25.28397,0.03089605,65.24153,13.88118,0,0
5/22/23,18:30:00,19:00:00,28,2,.,.,.,.,.,99.71432,0,.,.,23.99294,0.4510993,0.2255414,1.56689,1.214473,0.7739492,0.1859719,0.4510576,0.7739069,0.4510576,0.7739069,0.4660326,0.7918964,0.4392411,0.768387,0.1132914,3,0.3398742,5.327778,4.275,0.04225667,3,0.12677,1.333333,1.275,21.53384,0.1420595,1419,1248,649,19.42751,17.9466,0.02786114,48.02887,39.70017,20.09994,0.1004168
5/22/23,18:30:00,19:00:00,28,3,.,.,.,.,.,99.71432,0,25.63009,40.01055,24.16168,0.5343142,0.2671528,1.859437,1.426035,0.7673451,0.2895473,0.5342907,0.7673413,0.5342907,0.7673413,0.5480086,0.7541849,0.5270934,0.7591256,0.07281494,1,0.07281494,26.33333,0,0.0574646,1,0.0574646,0.2666667,0,0,0,1704,1776,873,27.23335,24.88958,0.03114999,61.02166,18.10105,7.44031,0.03722221
5/22/23,18:30:00,19:00:00,28,4,.,.,.,.,.,99.71432,0,.,.,24.72932,0.5307758,0.2653839,1.810698,1.546384,0.8541817,0.216276,0.5307623,0.8541788,0.5307623,0.8541788,0.5413318,0.8483824,0.5265156,0.8577315,0.1053772,2,0.2107544,12.86667,3.45,0.03962708,4,0.1585083,0.3541667,7.083333,22.38208,0.0418163,2058,1729,1107,33.74183,31.58323,0.03575892,63.96446,11.10494,0,0
5/22/23,18:30:00,19:00:00,28,5,.,.,.,.,.,99.71432,0,.,.,24.63203,0.5999639,0.299979,2.087705,1.601947,0.7668754,0.3325056,0.5999372,0.76687,0.5999372,0.76687,0.6218316,0.7727247,0.6039054,0.771483,0.0370992,3,0.1112976,6.761111,3.55,0.0223465,4,0.089386,1.483333,7.733334,0,0,2134,2211,753,69.17473,67.68507,0.0602102,76.29095,1.110494,0,0
5/22/23,18:30:00,19:00:00,28,6,.,.,.,.,.,99.71432,0,.,.,23.97919,0.5243948,0.2622007,1.815532,1.433001,0.7891611,0.2283344,0.5244129,0.7891355,0.5244129,0.7891355,0.5509484,0.8061332,0.519284,0.7735579,0.07746887,2,0.1549377,11.04167,5.983333,0.008110046,4,0.03244019,0.875,6.622222,19.22288,0.01874723,1779,1626,1146,34.9629,32.95425,0.03864926,65.74126,13.4925,2.165464,0.01083334
